Participant ID,Scent ID,Scent Description,Chemical Compounds,Sentiment Label,Age,Gender,Cultural Background,Previous Experience,Current Mood,Emotional Intensity
1,1,Lavender,"Linalool, Linalyl acetate",Relaxation,56,Male,Chinese,False,Calm,Medium
1,2,Citrus,"Limonene, Citral",Happiness,69,Male,Indian,True,Neutral,High
1,3,Pine,Pinene,Calmness,46,Female,British,False,Energized,Low
1,4,Fresh Linen,Aldehydes,Cleanliness,32,Other,French,True,Neutral,Medium
1,5,Peppermint,Menthol,Refreshment,60,Female,Chinese,True,Sad,Medium
1,6,Vanilla,Vanillin,Comfort,25,Other,French,True,Stressed,Low
1,7,Rose,"Citronellol, Geraniol",Romance,38,Male,French,False,Calm,Medium
1,8,Eucalyptus,Eucalyptol,Healing,56,Female,French,True,Sad,High
1,9,Sandalwood,Santalol,Tranquility,36,Female,British,False,Sad,Low
1,10,Leather,Benzaldehyde,Luxury,40,Other,American,False,Energized,Medium
1,11,Coffee,"Caffeine, Niacin",Alertness,28,Male,Chinese,True,Stressed,Medium
1,12,Chocolate,Theobromine,Pleasure,28,Female,American,False,Stressed,Low
1,13,Burnt Wood,Guaiacol,Nostalgia,41,Male,American,True,Calm,Low
1,14,Cinnamon,Cinnamaldehyde,Warmth,53,Female,American,True,Energized,Low
1,15,Apple,Amyl acetate,Freshness,57,Male,French,False,Calm,Low
1,16,Strawberry,Methyl anthranilate,Joy,41,Other,Indian,True,Neutral,High
1,17,Smoky,Creosol,Mystery,20,Female,French,True,Sad,Low
1,18,Floral,Phenyl ethyl alcohol,Delight,39,Female,French,True,Calm,High
1,19,Ocean Breeze,Dimethyl sulfide,Freedom,19,Male,American,False,Sad,High
1,20,Rain,Geosmin,Nature,41,Male,French,True,Energized,Low
1,21,Lavender,"Linalool, Linalyl acetate",Relaxation,61,Female,American,False,Neutral,High
1,22,Citrus,"Limonene, Citral",Happiness,47,Other,Indian,False,Energized,Low
1,23,Pine,Pinene,Calmness,55,Male,Chinese,True,Neutral,Low
1,24,Fresh Linen,Aldehydes,Cleanliness,19,Male,American,True,Neutral,Medium
1,25,Peppermint,Menthol,Refreshment,38,Male,Indian,False,Sad,Low
1,26,Vanilla,Vanillin,Comfort,50,Female,Chinese,False,Energized,Medium
1,27,Rose,"Citronellol, Geraniol",Romance,29,Female,British,True,Energized,High
1,28,Eucalyptus,Eucalyptol,Healing,39,Female,American,True,Calm,Medium
1,29,Sandalwood,Santalol,Tranquility,61,Female,American,False,Energized,High
1,30,Leather,Benzaldehyde,Luxury,42,Other,British,False,Calm,Low
1,31,Coffee,"Caffeine, Niacin",Alertness,66,Other,British,False,Stressed,High
1,32,Chocolate,Theobromine,Pleasure,44,Female,American,False,Stressed,High
1,33,Burnt Wood,Guaiacol,Nostalgia,59,Other,British,False,Stressed,Low
1,34,Cinnamon,Cinnamaldehyde,Warmth,45,Male,French,True,Energized,High
1,35,Apple,Amyl acetate,Freshness,33,Male,Chinese,False,Energized,Low
1,36,Strawberry,Methyl anthranilate,Joy,32,Male,Chinese,False,Calm,Medium
1,37,Smoky,Creosol,Mystery,64,Female,Chinese,True,Neutral,Low
1,38,Floral,Phenyl ethyl alcohol,Delight,68,Male,French,True,Calm,Low
1,39,Ocean Breeze,Dimethyl sulfide,Freedom,61,Other,British,False,Stressed,High
1,40,Rain,Geosmin,Nature,69,Female,Indian,False,Calm,Medium
1,41,Lavender,"Linalool, Linalyl acetate",Relaxation,20,Other,British,True,Neutral,Low
1,42,Citrus,"Limonene, Citral",Happiness,54,Male,American,False,Energized,Medium
1,43,Pine,Pinene,Calmness,68,Male,Chinese,False,Calm,Medium
1,44,Fresh Linen,Aldehydes,Cleanliness,24,Male,British,True,Stressed,High
1,45,Peppermint,Menthol,Refreshment,38,Female,Indian,False,Stressed,Low
1,46,Vanilla,Vanillin,Comfort,26,Other,American,True,Energized,High
1,47,Rose,"Citronellol, Geraniol",Romance,56,Female,French,True,Calm,Low
1,48,Eucalyptus,Eucalyptol,Healing,35,Female,French,True,Neutral,Medium
1,49,Sandalwood,Santalol,Tranquility,21,Male,Indian,True,Energized,Low
1,50,Leather,Benzaldehyde,Luxury,42,Female,American,False,Calm,Low
1,51,Coffee,"Caffeine, Niacin",Alertness,31,Female,Chinese,True,Sad,Medium
1,52,Chocolate,Theobromine,Pleasure,67,Male,British,False,Stressed,Medium
1,53,Burnt Wood,Guaiacol,Nostalgia,26,Female,American,False,Neutral,Low
1,54,Cinnamon,Cinnamaldehyde,Warmth,43,Male,French,False,Neutral,High
1,55,Apple,Amyl acetate,Freshness,19,Male,Indian,False,Neutral,Low
1,56,Strawberry,Methyl anthranilate,Joy,37,Male,Indian,False,Stressed,Medium
1,57,Smoky,Creosol,Mystery,45,Male,British,True,Calm,High
1,58,Floral,Phenyl ethyl alcohol,Delight,64,Female,Indian,True,Energized,Medium
1,59,Ocean Breeze,Dimethyl sulfide,Freedom,24,Male,Indian,True,Calm,Medium
1,60,Rain,Geosmin,Nature,61,Male,American,True,Energized,High
1,61,Lavender,"Linalool, Linalyl acetate",Relaxation,25,Female,Chinese,False,Neutral,Medium
1,62,Citrus,"Limonene, Citral",Happiness,64,Female,British,True,Calm,Medium
1,63,Pine,Pinene,Calmness,52,Other,American,False,Neutral,Medium
1,64,Fresh Linen,Aldehydes,Cleanliness,31,Female,Chinese,False,Sad,Medium
1,65,Peppermint,Menthol,Refreshment,34,Female,American,True,Neutral,Medium
1,66,Vanilla,Vanillin,Comfort,53,Other,American,True,Neutral,Medium
1,67,Rose,"Citronellol, Geraniol",Romance,67,Female,Indian,True,Energized,Medium
1,68,Eucalyptus,Eucalyptol,Healing,57,Female,Chinese,True,Sad,Medium
1,69,Sandalwood,Santalol,Tranquility,21,Female,British,False,Neutral,Medium
1,70,Leather,Benzaldehyde,Luxury,19,Female,British,False,Neutral,Low
1,71,Coffee,"Caffeine, Niacin",Alertness,23,Other,Chinese,True,Sad,Low
1,72,Chocolate,Theobromine,Pleasure,59,Female,Indian,False,Sad,Medium
1,73,Burnt Wood,Guaiacol,Nostalgia,21,Female,French,False,Calm,Low
1,74,Cinnamon,Cinnamaldehyde,Warmth,46,Other,American,False,Energized,High
1,75,Apple,Amyl acetate,Freshness,35,Male,Indian,True,Sad,Low
1,76,Strawberry,Methyl anthranilate,Joy,43,Other,Chinese,False,Sad,Medium
1,77,Smoky,Creosol,Mystery,61,Male,American,True,Stressed,Medium
